region,Resource,cluster,R_ID,zone,voltage_level,CapRes,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,TRADER,HYDRO,RPS,CES,Commit,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,capex,Inv_cost_per_MWyr,Fixed_OM_cost_per_MWyr,capex_mwh,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh,Var_OM_cost_per_MWh_in,Externality_cost_MWh,Start_cost_per_MW,Start_fuel_MMBTU_per_MW,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_DSM_delay,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,spur_miles,spur_line_capex,interconnect_annuity,Power_uprate_cost_per_MWyr,Max_Uprate_MW,Hydro_level,Existing_Charge_Cap_MW,Existing_cap_MWh
ERC_P,onshore_wind_turbine,1,1,1,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,8495.9,22,4184.708,0,1,0,0,0,0,0,0,45062,0,0,0,0,0,0,0,0,9.12,0,0.02,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_R,biomass,1,2,2,trans,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,48.4,44,178.904,0,1.1,0,0,0,0,0,0,890411,0,0,0,44.4,0,0,0,0,103.17,1.104,192.239,None,0.593,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_R,conventional_hydroelectric,1,3,2,trans,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,467.02,19,467.001,0,1,0,0,0,0,0,0,71207,0,0,0,0,0,0,0,0,9.12,0,0,None,0.005,0,1,1,1,0,0,0,0.083,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
ERC_R,conventional_steam_coal,1,4,2,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13567.68,21,13567.596,0,646.08,0,0,0,0,0,0,41917,0,0,0,6.2,0,0,122,13.7,10.5,0.822,0.675,ercot_coal,0.356,0,1,1,1,0,0,0,0.57,0.57,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_R,natural_gas_fired_combined_cycle,1,5,2,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36734.21,79,36733.894,0,464.99,0,0,0,0,0,0,13642,0,0,0,4.1,0,0,91,2,8.05,1.807,2.291,ercot_naturalgas,0.464,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_R,natural_gas_fired_combustion_turbine,1,6,2,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4704.48,72,4704.408,0,65.34,0,0,0,0,0,0,8670,0,0,0,11.7,0,0,118,3.5,10.12,3.367,3.499,ercot_naturalgas,0.542,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_R,natural_gas_steam_turbine,1,7,2,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1118.5,5,1118.5,0,223.7,0,0,0,0,0,0,47301,0,0,0,7.2,0,0,86,13.7,12.09,0.678,0.611,ercot_naturalgas,0.202,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_R,nuclear,1,8,2,trans,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5020,4,5020,0,1255,0,0,0,0,0,0,105165,0,0,0,2.4,0,0,245,0,10.46,0,0,ercot_uranium,0.5,0,1,1,1,0,0,0,0.25,0.25,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_R,onshore_wind_turbine,1,9,2,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,6979,41,6945.318,0,1,0,0,0,0,0,0,45062,0,0,0,0,0,0,0,0,9.14,0,0.037,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_R,small_hydroelectric,1,10,2,trans,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,11.59,19,62.092,0,1,0,0,0,0,0,0,101453,0,0,0,0,0,0,0,0,9.12,0,0,None,0.517,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_R,solar_photovoltaic,1,11,2,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,454.5,18,297.792,0,1,0,0,0,0,0,0,18715,0,0,0,0,0,0,0,0,9.12,0,0.03,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_W,conventional_steam_coal,1,12,3,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,650,1,650,0,650,0,0,0,0,0,0,42036,0,0,0,6.2,0,0,122,13.7,10.46,0,0,ercot_coal,0.331,0,1,1,1,0,0,0,0.57,0.57,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_W,natural_gas_fired_combined_cycle,1,13,3,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3427.34,14,3427.396,0,244.81,0,0,0,0,0,0,13642,0,0,0,4.1,0,0,91,2,7.68,2.224,1.998,ercot_naturalgas,0.41,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_W,natural_gas_fired_combustion_turbine,1,14,3,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1207.96,13,1207.999,0,92.92,0,0,0,0,0,0,7136,0,0,0,16,0,0,118,3.5,13.92,1.413,1.541,ercot_naturalgas,0.443,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_W,onshore_wind_turbine,1,15,3,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,9450.5,90,14228.1,0,1,0,0,0,0,0,0,45062,0,0,0,0,0,0,0,0,9.14,0,0.03,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_W,solar_photovoltaic,1,16,3,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,137.5,19,2774.209,0,1,0,0,0,0,0,0,18715,0,0,0,0,0,0,0,0,9.17,0.092,0.047,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_P,naturalgas_ccccsavgcf,1,17,1,trans,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,500,0,-1,0,0,1949960.038,184406.334,35065,0,0,0,7.5,0,0,91,3.5,7.49,0,0,ercot_naturalgas_ccs90,0.6,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,20,85620,6215.334,0,0,0,0,0
ERC_P,naturalgas_ccavgcf,1,18,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,500,0,-1,0,0,768581.889,76983,10463,0,0,0,2.1,0,0,91,3.5,6.15,0,0,ercot_naturalgas,0.2,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_P,naturalgas_ctavgcf,1,19,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,100,0,-1,0,0,654884.77,65063,7143,0,0,0,11.2,0,0,118,3.5,8.8,0,0,ercot_naturalgas,0.3,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_P,landbasedwind_ltrg1,Pon1,20,1,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,25636.661,0,0,1202360.38,114403.378,38186,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8078.378,0,0,0,0,0
ERC_P,landbasedwind_ltrg1,Pon2,21,1,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,20185.447,0,0,1202360.38,118073.042,38186,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11748.042,0,0,0,0,0
ERC_P,landbasedwind_ltrg1,Pon3,22,1,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,40102.072,0,0,1202360.38,119972.212,38186,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13647.212,0,0,0,0,0
ERC_P,utilitypv_losangeles,Ppv1,23,1,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,33741.526,0,0,817501.045,79364.112,12603,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4349.112,0,0,0,0,0
ERC_P,utilitypv_losangeles,Ppv2,24,1,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,29357.977,0,0,817501.045,82056.325,12603,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7041.325,0,0,0,0,0
ERC_P,utilitypv_losangeles,Ppv3,25,1,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,46304.676,0,0,817501.045,83777.594,12603,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8762.594,0,0,0,0,0
ERC_P,utilitypv_losangeles,Ppv4,26,1,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,86106.838,0,0,817501.045,86305.193,12603,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11290.193,0,0,0,0,0
ERC_P,battery,1,27,1,trans,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,0,342308.369,37699,8557,104507.308,11509,2612,0,0,0,0,0,0,0,0,None,0,0,0.92,0.92,1,1,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_P,naturalgas_ccs100,1,28,1,trans,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,500,0,-1,0,0,2065960.038,195006.334,44735,0,0,0,8.1,0,0,91,3.5,7.86,0,0,ercot_naturalgas_ccs100,0.6,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,20,85620,6215.334,0,0,0,0,0
ERC_R,naturalgas_ccccsavgcf,1,29,2,trans,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,500,0,-1,0,0,1949960.038,184406.334,35065,0,0,0,7.5,0,0,91,3.5,7.49,0,0,ercot_naturalgas_ccs90,0.6,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,20,85620,6215.334,0,0,0,0,0
ERC_R,naturalgas_ccavgcf,1,30,2,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,500,0,-1,0,0,768581.889,76983,10463,0,0,0,2.1,0,0,91,3.5,6.15,0,0,ercot_naturalgas,0.2,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_R,naturalgas_ctavgcf,1,31,2,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,100,0,-1,0,0,654884.77,65063,7143,0,0,0,11.2,0,0,118,3.5,8.8,0,0,ercot_naturalgas,0.3,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_R,landbasedwind_ltrg1,Ron1,32,2,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1848.055,0,0,1202360.38,116618.125,38186,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10293.125,0,0,0,0,0
ERC_R,landbasedwind_ltrg1,Ron2,33,2,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2552.931,0,0,1202360.38,118549.984,38186,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12224.984,0,0,0,0,0
ERC_R,landbasedwind_ltrg1,Ron3,34,2,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2288.25,0,0,1202360.38,119352.603,38186,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13027.603,0,0,0,0,0
ERC_R,offshorewind_otrg3,Roff1,35,2,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,842.5,0,0,2356894.31,406781.063,63489,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,188669.063,0,0,0,0,0
ERC_R,offshorewind_otrg3,Roff2,36,2,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1330,0,0,2356894.31,419435.054,63489,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,201323.054,0,0,0,0,0
ERC_R,offshorewind_otrg3,Roff3,37,2,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1520,0,0,2356894.31,432319.042,63489,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,214207.042,0,0,0,0,0
ERC_R,utilitypv_losangeles,Rpv1,38,2,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,41431.5,0,0,817501.045,81640.835,12603,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6625.835,0,0,0,0,0
ERC_R,utilitypv_losangeles,Rpv2,39,2,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,32915.25,0,0,817501.045,80473.594,12603,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5458.594,0,0,0,0,0
ERC_R,battery,1,40,2,trans,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,0,342308.369,37699,8557,104507.308,11509,2612,0,0,0,0,0,0,0,0,None,0,0,0.92,0.92,1,1,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_R,naturalgas_ccs100,1,41,2,trans,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,500,0,-1,0,0,2065960.038,195006.334,44735,0,0,0,8.1,0,0,91,3.5,7.86,0,0,ercot_naturalgas_ccs100,0.6,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,20,85620,6215.334,0,0,0,0,0
ERC_W,naturalgas_ccccsavgcf,1,42,3,trans,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,500,0,-1,0,0,1949960.038,184406.334,35065,0,0,0,7.5,0,0,91,3.5,7.49,0,0,ercot_naturalgas_ccs90,0.6,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,20,85620,6215.334,0,0,0,0,0
ERC_W,naturalgas_ccavgcf,1,43,3,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,500,0,-1,0,0,768581.889,76983,10463,0,0,0,2.1,0,0,91,3.5,6.15,0,0,ercot_naturalgas,0.2,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_W,naturalgas_ctavgcf,1,44,3,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,100,0,-1,0,0,654884.77,65063,7143,0,0,0,11.2,0,0,118,3.5,8.8,0,0,ercot_naturalgas,0.3,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_W,landbasedwind_ltrg1,Won1,45,3,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1384.425,0,0,1202360.38,111863.619,38186,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5538.619,0,0,0,0,0
ERC_W,landbasedwind_ltrg1,Won2,46,3,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,3988.575,0,0,1202360.38,112460.671,38186,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6135.671,0,0,0,0,0
ERC_W,landbasedwind_ltrg1,Won3,47,3,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,6573.825,0,0,1202360.38,111671.867,38186,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5346.867,0,0,0,0,0
ERC_W,landbasedwind_ltrg1,Won4,48,3,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,8408.475,0,0,1202360.38,113536.165,38186,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7211.165,0,0,0,0,0
ERC_W,landbasedwind_ltrg1,Won5,49,3,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,10104.75,0,0,1202360.38,114680.814,38186,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8355.814,0,0,0,0,0
ERC_W,landbasedwind_ltrg1,Won6,50,3,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,16129.125,0,0,1202360.38,117479.183,38186,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11154.183,0,0,0,0,0
ERC_W,landbasedwind_ltrg1,Won7,51,3,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,10901.925,0,0,1202360.38,119935.541,38186,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13610.541,0,0,0,0,0
ERC_W,utilitypv_losangeles,Wpv1,52,3,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,42599.25,0,0,817501.045,80551.268,12603,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5536.268,0,0,0,0,0
ERC_W,utilitypv_losangeles,Wpv2,53,3,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,73962,0,0,817501.045,84516.377,12603,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9501.377,0,0,0,0,0
ERC_W,battery,1,54,3,trans,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,0,342308.369,37699,8557,104507.308,11509,2612,0,0,0,0,0,0,0,0,None,0,0,0.92,0.92,1,1,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_W,naturalgas_ccs100,1,55,3,trans,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,500,0,-1,0,0,2065960.038,195006.334,44735,0,0,0,8.1,0,0,91,3.5,7.86,0,0,ercot_naturalgas_ccs100,0.6,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,20,85620,6215.334,0,0,0,0,0