Network_Lines,z1,z2,z3,z4,z5,z6,Line_Max_Flow_MW,Line_Min_Flow_MW,transmission_path_name,Line_Reinforcement_Cost_per_MWyr,Line_Reinforcement_Cost_per_MW,Line_Loss_Percentage,Line_Max_Reinforcement_MW
1,1,-1,0,0,0,0,3675,3675,CA_N_to_CA_S,62614,1292626,0.0703,3675
2,1,0,-1,0,0,0,100,100,CA_N_to_WECC_N,65614,1354568,0.0848,400
3,1,0,0,0,-1,0,3675,3675,CA_N_to_WECC_PNW,86810,1792151,0.0987,3675
4,0,1,-1,0,0,0,1400,1400,CA_S_to_WECC_N,57095,1178706,0.0718,1400
5,0,1,0,-1,0,0,10464,10464,CA_S_to_WECC_NMAZ,58441,1206490,0.0789,10464
6,0,1,0,0,-1,0,2858,2858,CA_S_to_WECC_PNW,101490,2095201,0.1221,2858
7,0,0,1,-1,0,0,740,740,WECC_N_to_WECC_NMAZ,59115,1220396,0.0737,740
8,0,0,1,0,-1,0,5150,5150,WECC_N_to_WECC_PNW,81159,1675493,0.0894,5150
9,0,0,1,0,0,-1,4150,4150,WECC_N_to_WECC_WYCO,41216,850879,0.047,4150
10,0,0,0,1,0,-1,664,664,WECC_NMAZ_to_WECC_WYCO,75071,1549797,0.1131,664