R_ID,Zone_name,Zone,Technology,Cluster,Num_units,Cap_size,Existing_Cap_MW,Existing_Cap_MWh,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Fuel,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Min_power,Ramp_Up_percentage,Ramp_Dn_percentage,Commit,Start_fuel_MMBTU_per_MW,Start_cost_per_MW,Up_time,Down_time,Charge_efficiency,Discharge_efficiency,THERM,VRE,MUSTRUN,STOR,HYDRO,RPS,CES
1,AZ,8,Biomass,1,5,1.954,9.77,0,116511,6.809,None,15.832,1.579,2.035,0.262,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
2,AZ,8,Conventional Hydroelectric,1,28,98.661,2762.508,11050,46475,0,None,9.118,0,0,0.004,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,1,0,1
3,AZ,8,Conventional Steam Coal,1,6,284,1704,0,62207.336,1.857,mountain_reference_coal,10.988,0.436,0.327,0.276,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
4,AZ,8,Conventional Steam Coal,2,4,406.25,1625,0,52870.11,1.857,mountain_reference_coal,10.29,0.204,0.241,0.588,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
5,AZ,8,Hydroelectric Pumped Storage,1,6,36.05,216.3,34333,40113,0,None,0,0,0,0.601,1,1,0,0,0,0,0,0.866,0.866,0,0,0,1,0,0,0
6,AZ,8,Natural Gas Fired Combined Cycle,1,15,518.4,7776,0,10293.267,3.554,mountain_reference_naturalgas,7.578,0.488,0.464,0.368,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
7,AZ,8,Natural Gas Fired Combined Cycle,2,3,366.767,1100.301,0,12182,3.515,mountain_reference_naturalgas,9.803,0.31,0.313,0.609,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
8,AZ,8,Natural Gas Fired Combined Cycle,3,3,110.3,330.9,0,16291,4.495,mountain_reference_naturalgas,7.542,0.298,0.344,0.656,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
9,AZ,8,Natural Gas Fired Combined Cycle,4,1,6.6,6.6,0,16291,4.495,mountain_reference_naturalgas,11.884,0,,0.53,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
10,AZ,8,Natural Gas Fired Combustion Turbine,1,22,46.018,1012.396,0,7300,11.728,mountain_reference_naturalgas,10.532,0.527,0.268,0.458,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
11,AZ,8,Natural Gas Fired Combustion Turbine,2,6,25.933,155.598,0,11493,11.728,mountain_reference_naturalgas,11.187,1.865,1.284,0.315,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
12,AZ,8,Natural Gas Fired Combustion Turbine,3,2,49.4,98.8,0,10962.115,11.728,mountain_reference_naturalgas,16.379,0.426,0.602,0.506,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
13,AZ,8,Natural Gas Fired Combustion Turbine,4,4,55.25,221,0,9042,11.728,mountain_reference_naturalgas,12.751,0.974,0.674,0.385,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
14,AZ,8,Nuclear,1,3,1334.333,4002.999,0,105225,2.413,mountain_reference_uranium,10.458,0,0,0.082,0.25,0.25,1,0,244.8153402,24,24,1,1,1,0,0,0,0,0,1
15,AZ,8,Onshore Wind Turbine,1,4,51.075,257.3,0,45062,0,None,9.118,0,0,0.024,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
16,AZ,8,Small Hydroelectric,1,9,2.125,19.125,0,46475,0,None,9.128,0.026,0.013,0.268,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
17,AZ,8,Solar Photovoltaic,1,105,17.499,2017.8,0,18715,0,None,9.126,0,0.013,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
18,CO,12,Biomass,1,10,1.408,14.08,0,116511,4.975,None,11.737,2.958,2.533,0.255,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
19,CO,12,Conventional Hydroelectric,1,11,42.764,470.404,1882,46475,0,None,9.118,0,0,0,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,1,0,1
20,CO,12,Conventional Steam Coal,1,6,481.833,2890.998,0,55152.542,1.857,mountain_reference_coal,10.359,0.313,0.372,0.419,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
21,CO,12,Conventional Steam Coal,2,4,232.25,929,0,71939.075,1.857,mountain_reference_coal,10.544,0.411,0.444,0.501,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
22,CO,12,Conventional Steam Coal,3,3,102.667,308.001,0,72853.62,1.857,mountain_reference_coal,12.204,0.846,0.864,0.473,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
23,CO,12,Conventional Steam Coal,4,1,325,325,0,56125,1.857,mountain_reference_coal,12.819,0,,0.523,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
24,CO,12,Hydroelectric Pumped Storage,1,5,112.5,562.5,89286,40113,0,None,0,0,0,0.267,1,1,0,0,0,0,0,0.866,0.866,0,0,0,1,0,0,0
25,CO,12,Natural Gas Fired Combined Cycle,1,3,643.667,1931.001,0,9668,3.567,mountain_reference_naturalgas,7.535,0.414,0.439,0.326,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
26,CO,12,Natural Gas Fired Combined Cycle,2,7,174.914,1224.398,0,16291,4.495,mountain_reference_naturalgas,8.194,1.734,0.994,0.456,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
27,CO,12,Natural Gas Fired Combined Cycle,3,1,33,33,0,16291,4.495,mountain_reference_naturalgas,15.955,0,,0.182,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
28,CO,12,Natural Gas Fired Combined Cycle,4,2,105,210,0,16291,4.495,mountain_reference_naturalgas,11.698,0.045,0.063,0.529,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
29,CO,12,Natural Gas Fired Combustion Turbine,1,7,32.714,228.998,0,10422.694,11.728,mountain_reference_naturalgas,16.347,0.871,0.479,0.415,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
30,CO,12,Natural Gas Fired Combustion Turbine,2,18,64.544,1161.792,0,9248.324,11.728,mountain_reference_naturalgas,11.613,0.642,0.545,0.439,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
31,CO,12,Natural Gas Fired Combustion Turbine,3,11,121.455,1336.005,0,7300,11.728,mountain_reference_naturalgas,11.47,1.017,0.722,0.5,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
32,CO,12,Natural Gas Fired Combustion Turbine,4,1,51,51,0,11493,11.728,mountain_reference_naturalgas,23.944,0,,0.353,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
33,CO,12,Natural Gas Steam Turbine,1,1,20,20,0,50678,1.043,mountain_reference_naturalgas,27.041,0,,0.15,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
34,CO,12,Natural Gas Steam Turbine,2,1,310,310,0,50678,1.043,mountain_reference_naturalgas,11.131,0,,0.71,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
35,CO,12,Onshore Wind Turbine,1,37,88.159,2662,0,45062,0,None,9.123,0,0.022,0.077,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
36,CO,12,Small Hydroelectric,1,51,1.227,62.577,0,46475,0,None,9.118,0,0,0.136,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
37,CO,12,Solar Photovoltaic,1,50,11.95,533.8,0,18715,0,None,9.146,0,0.025,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
38,ID,5,Biomass,1,15,0.749,11.235,0,116511,3.535,None,8.221,4.077,2.986,0.472,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
39,ID,5,Conventional Hydroelectric,1,36,39.197,1411.092,5644,46475,0,None,9.118,0,0.015,0,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,1,0,1
40,ID,5,Geothermal,1,1,8.154,8.154,0,206553,0,None,9.118,0,,0.041,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1
41,ID,5,Natural Gas Fired Combined Cycle,1,1,319.9,319.9,0,16291,4.495,mountain_reference_naturalgas,6.993,0,,0.449,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
42,ID,5,Natural Gas Fired Combustion Turbine,1,4,123.975,495.9,0,9042,11.728,mountain_reference_naturalgas,10.771,0.059,0.117,0.618,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
43,ID,5,Natural Gas Fired Combustion Turbine,2,1,5.2,5.2,0,11493,11.728,mountain_reference_naturalgas,4.439,0,,0.058,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
44,ID,5,Onshore Wind Turbine,1,32,30.325,1696.3,0,45062,0,None,9.118,0,0,0.029,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
45,ID,5,Small Hydroelectric,1,100,1.92,192,0,46475,0,None,9.118,0,0,0.195,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
46,ID,5,Solar Photovoltaic,1,9,25.333,251.5,0,18715,0,None,9.118,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
47,MT,6,Biomass,1,1,1.602,1.602,0,116511,5.044,None,11.728,0,,0.033,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
48,MT,6,Conventional Hydroelectric,1,46,54.296,2497.616,9990,46475,0,None,9.118,0,0,0.288,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,1,0,1
49,MT,6,Conventional Steam Coal,1,2,740,1480,0,59501.5,1.857,mountain_reference_coal,10.87,0.025,0.036,0.27,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
50,MT,6,Conventional Steam Coal,2,2,73.75,147.5,0,68729.434,1.857,mountain_reference_coal,13.487,0.187,0.264,0.631,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
51,MT,6,Natural Gas Fired Combustion Turbine,1,3,48.1,144.3,0,9042,11.728,mountain_reference_naturalgas,12.516,0,0,0.104,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
52,MT,6,Onshore Wind Turbine,1,15,55.567,811.5,0,45062,0,None,9.136,0,0.032,0.008,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
53,MT,6,Small Hydroelectric,1,23,2.3,52.9,0,46475,0,None,9.118,0,0,0.255,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
54,NM,9,Biomass,1,4,1.488,5.952,0,116511,6.048,None,14.063,2.974,1.717,0.296,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
55,NM,9,Conventional Steam Coal,1,2,770,1540,0,56584.5,1.857,mountain_reference_coal,9.23,0.265,0.374,0.473,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
56,NM,9,Conventional Steam Coal,2,3,366.667,1100.001,0,63306.053,1.857,mountain_reference_coal,11.055,0.561,0.562,0.355,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
57,NM,9,Geothermal,1,5,0.666,3.33,0,206553,0,None,9.118,0,0,0.377,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1
58,NM,9,Natural Gas Fired Combined Cycle,1,2,446.5,893,0,9668,3.567,mountain_reference_naturalgas,8.259,0.015,0.021,0.391,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
59,NM,9,Natural Gas Fired Combined Cycle,2,2,126.2,252.4,0,16291,4.495,mountain_reference_naturalgas,7.384,0,0,0.515,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
60,NM,9,Natural Gas Fired Combined Cycle,3,1,144,144,0,9668,3.567,mountain_reference_naturalgas,15.109,0,,0.403,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
61,NM,9,Natural Gas Fired Combined Cycle,4,1,83,83,0,9668,3.567,mountain_reference_naturalgas,9.162,0,,0.289,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
62,NM,9,Natural Gas Fired Combined Cycle,5,1,67,67,0,16291,4.495,mountain_reference_naturalgas,7.843,0,,0.179,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
63,NM,9,Natural Gas Fired Combustion Turbine,1,5,47.84,239.2,0,11493,11.728,mountain_reference_naturalgas,11.162,1.271,1.139,0.242,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
64,NM,9,Natural Gas Fired Combustion Turbine,2,4,91.2,364.8,0,7300,11.728,mountain_reference_naturalgas,9.235,0,0,0.205,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
65,NM,9,Natural Gas Fired Combustion Turbine,3,1,64,64,0,11493,11.728,mountain_reference_naturalgas,16.514,0,,0.047,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
66,NM,9,Natural Gas Fired Combustion Turbine,4,6,80.1,480.6,0,9042,11.728,mountain_reference_naturalgas,11.137,0.934,0.677,0.541,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
67,NM,9,Natural Gas Steam Turbine,1,1,48,48,0,50678,1.043,mountain_reference_naturalgas,13.246,0,,0.375,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
68,NM,9,Natural Gas Steam Turbine,2,3,84,252,0,50678,1.043,mountain_reference_naturalgas,12.157,0,0,0.246,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
69,NM,9,Natural Gas Steam Turbine,3,1,46,46,0,50678,1.043,mountain_reference_naturalgas,14.027,0,,0.391,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
70,NM,9,Onshore Wind Turbine,1,10,151.51,967.8,0,45062,0,None,9.139,0,0.039,0.217,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
71,NM,9,Small Hydroelectric,1,9,2.849,25.641,0,46475,0,None,9.118,0,0,0.187,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
72,NM,9,Solar Photovoltaic,1,41,7.68,987.4,0,18715,0,None,9.118,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
73,NV,7,Biomass,1,4,1.631,6.524,0,116511,7.08,None,16.463,8.041,4.642,0.769,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
74,NV,7,Conventional Hydroelectric,1,9,115.489,1039.401,4158,46475,0,None,9.118,0,0,0,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,1,0,1
75,NV,7,Conventional Steam Coal,1,1,268,268,0,60284,1.857,mountain_reference_coal,11.512,0,,0.336,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
76,NV,7,Conventional Steam Coal,2,1,219.2,219.2,0,67890,1.857,mountain_reference_coal,10.576,0,,0.365,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
77,NV,7,Conventional Steam Coal,3,1,254,254,0,60810,1.857,mountain_reference_coal,12.429,0,,0.354,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
78,NV,7,Geothermal,1,50,6.74,337,0,206553,0,None,9.118,0,0,0.384,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1
79,NV,7,Natural Gas Fired Combined Cycle,1,3,94.367,283.101,0,16291,4.495,mountain_reference_naturalgas,9.34,0.224,0.242,0.749,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
80,NV,7,Natural Gas Fired Combined Cycle,2,5,575.72,2878.6,0,9668,3.567,mountain_reference_naturalgas,7.478,0.5,0.377,0.433,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
81,NV,7,Natural Gas Fired Combined Cycle,3,3,148.667,446.001,0,9668,3.567,mountain_reference_naturalgas,9.264,0.644,0.644,0.462,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
82,NV,7,Natural Gas Fired Combined Cycle,4,4,195.75,783,0,16291,4.495,mountain_reference_naturalgas,8.016,0.32,0.412,0.529,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
83,NV,7,Natural Gas Fired Combined Cycle,5,2,601,1202,0,12182,3.515,mountain_reference_naturalgas,7.285,0.05,0.071,0.374,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
84,NV,7,Natural Gas Fired Combustion Turbine,1,5,73.2,366,0,9042,11.728,mountain_reference_naturalgas,13.358,0.137,0.075,0.765,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
85,NV,7,Natural Gas Fired Combustion Turbine,2,2,4,8,0,11493,11.728,mountain_reference_naturalgas,4.558,0,0,0.125,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
86,NV,7,Natural Gas Fired Combustion Turbine,3,12,57,684,0,7300,11.728,mountain_reference_naturalgas,11.203,0,0,0.877,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
87,NV,7,Natural Gas Fired Combustion Turbine,4,2,76,152,0,9042,11.728,mountain_reference_naturalgas,11.59,0,0,0.395,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
88,NV,7,Natural Gas Steam Turbine,1,2,113,226,0,50678,1.043,mountain_reference_naturalgas,11.728,0.131,0.186,0.159,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
89,NV,7,Onshore Wind Turbine,1,1,150,111.2,0,45062,0,None,9.118,0,,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
90,NV,7,Small Hydroelectric,1,8,0.766,6.128,0,46475,0,None,9.118,0.001,0,0.17,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
91,NV,7,Solar Photovoltaic,1,61,38.418,3526.1,0,18715,0,None,9.144,0,0.028,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
92,NorCal,1,Biomass,1,105,2.179,228.795,0,116511,7.529,None,17.511,3.493,5.24,0.334,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
93,NorCal,1,Conventional Hydroelectric,1,117,62.171,7274.007,14548,46475,0,None,9.118,0,0.009,0.06,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,1,0,1
94,NorCal,1,Geothermal,1,23,27.95,642.85,0,206553,0,None,9.118,0,0,0.389,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1
95,NorCal,1,Hydroelectric Pumped Storage,1,20,89.55,1791,284286,40113,0,None,0,0,0,0.266,0.083,0.083,0,0,0,0,0,0.866,0.866,0,0,0,1,0,0,0
96,NorCal,1,Natural Gas Fired Combined Cycle,1,9,117.667,1059.003,0,16291,4.495,pacific_reference_naturalgas,8.664,0.399,0.205,0.578,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
97,NorCal,1,Natural Gas Fired Combined Cycle,2,10,618.69,6186.9,0,9668,3.567,pacific_reference_naturalgas,7.325,0.346,0.269,0.482,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
98,NorCal,1,Natural Gas Fired Combined Cycle,3,3,66.367,199.101,0,16291,4.495,pacific_reference_naturalgas,10.619,0.412,0.457,0.442,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
99,NorCal,1,Natural Gas Fired Combined Cycle,4,3,102.067,306.201,0,16291,4.495,pacific_reference_naturalgas,6.122,0.182,0.202,0.521,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
100,NorCal,1,Natural Gas Fired Combined Cycle,5,1,12.5,12.5,0,16291,4.495,pacific_reference_naturalgas,13.654,0,,0.432,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
101,NorCal,1,Natural Gas Fired Combined Cycle,6,4,381.975,1527.9,0,12182,3.515,pacific_reference_naturalgas,7.199,0.46,0.271,0.471,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
102,NorCal,1,Natural Gas Fired Combined Cycle,7,5,195.44,977.2,0,16291,4.495,pacific_reference_naturalgas,8.037,0.315,0.256,0.428,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
103,NorCal,1,Natural Gas Fired Combined Cycle,8,2,169.25,338.5,0,16291,4.495,pacific_reference_naturalgas,7.079,0.05,0.07,0.541,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
104,NorCal,1,Natural Gas Fired Combustion Turbine,1,22,7.05,155.1,0,11493,11.728,pacific_reference_naturalgas,4.547,0.423,0.361,0.571,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
