R_ID,Zone_name,Zone,Resource,Cluster,New_Build,Num_Units,Cap_size,Existing_Cap_MW,Existing_Cap_MWh,Max_Cap_MW,capex,Inv_cost_per_MWyr,capex_mwh,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWyr,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh,Fuel,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Min_power,Ramp_Up_percentage,Ramp_Dn_percentage,Commit,Start_cost_per_MW,Start_fuel_MMBTU_per_MW,Up_time,Down_time,Charge_efficiency,Discharge_efficiency,Min_Duration,Max_Duration,THERM,VRE,MUSTRUN,STOR,HYDRO,RPS,CES
1,CA_N,1,biomass,1,0,32,6.6,209.9,0,-1,0,0,0,0,100830,0,2.3,pacific_uranium,10.46,0,0,0.5,0.25,0.25,1,235,0,24,24,1,1,0,0,1,0,0,0,0,0,1
2,CA_N,1,biomass,1,1,0,0,0,0,-1,1660381.746,733972.501,0,0,61431,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
3,CA_N,1,conventional_hydroelectric,0,1,0,0,0,0,-1,1660381.746,623105.983,0,0,61431,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
4,CA_N,1,geothermal,1,0,69,76.1,5254,0,-1,0,0,0,0,17943,0,0,None,9.13,0,0.016,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
5,CA_N,1,geothermal,1,1,0,0,0,0,-1,1660381.746,552516.127,0,0,61431,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
6,CA_N,1,hydroelectric_pumped_storage,1,0,62,92.8,5751.7,0,-1,0,0,0,0,68272,0,0,None,9.12,0,0.006,0,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
7,CA_N,1,hydroelectric_pumped_storage,1,1,0,0,0,0,-1,785075.416,98328.543,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
8,CA_N,1,onshore_wind_turbine,2,-1,2,21,42,6666.67,-1,1152631.419,265727.251,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
9,CA_N,1,small_hydroelectric,1,0,53,73.5,3893.9,0,-1,785075.416,93980.878,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
10,CA_N,1,small_hydroelectric,0,1,0,0,0,0,-1,785075.416,95166.368,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
11,CA_N,1,solar_photovoltaic,2,-1,6,12.2,73.02,46.22,-1,1660381.746,733972.501,0,0,61431,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
12,CA_S,2,biomass,1,0,50,11.9,593.1,0,-1,1152631.419,201361.155,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
13,CA_S,2,biomass,1,1,0,0,0,0,-1,328200,37639,0,0,8205,0,0,None,0,0,0,0,1,1,0,0,0,0,0,0.92,0.92,1,10,0,0,0,2,0,0,1
14,CA_S,2,conventional_hydroelectric,0,1,0,0,0,0,-1,5912426.309,585045.995,0,0,100888,0,2.3,pacific_uranium,10.46,0,0,0.5,0.25,0.25,1,235,0,24,24,1,1,0,0,1,0,0,0,0,0,1
15,CA_S,2,geothermal,1,0,56,84.6,4735.6,0,-1,328200,37613,100266.667,11491,8205,2506,0,None,0,0,0,0,1,1,0,0,0,0,0,0.92,0.92,1,10,0,0,0,2,0,0,1
16,CA_S,2,geothermal,1,1,0,0,0,0,-1,1873354.76,165817,0,0,33620,0,7.2,rockies_naturalgas_ccs90,7.49,0,0,0.6,1,1,1,87,3.5,6,6,1,1,0,0,1,0,0,0,0,0,1
17,CA_S,2,hydroelectric_pumped_storage,0,1,0,0,0,0,-1,1152631.419,111623.778,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
18,CA_S,2,hydroelectric_pumped_storage,1,1,0,0,0,0,-1,1152631.419,120510.514,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
19,CA_S,2,onshore_wind_turbine,2,-1,2,50,100,15873.02,-1,1660381.746,623105.983,0,0,61431,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
20,CA_S,2,small_hydroelectric,1,0,51,23.2,1185.7,0,-1,5912426.309,612534.995,0,0,100888,0,2.3,pacific_uranium,10.46,0,0,0.5,0.25,0.25,1,235,0,24,24,1,1,0,0,1,0,0,0,0,0,1
21,CA_S,2,small_hydroelectric,0,1,0,0,0,0,-1,1152631.419,125130.196,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
22,CA_S,2,solar_photovoltaic,2,-1,5,235.2,1175.8,186634.92,-1,1660381.746,671117.865,0,0,61431,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
23,WECC_N,3,biomass,0,0,0,0,0,0,-1,1989354.76,211302,0,0,43290,0,7.7,pacific_naturalgas_ccs100,7.86,0,0,0.6,1,1,1,87,3.5,6,6,1,1,0,0,1,0,0,0,0,0,1
24,WECC_N,3,biomass,1,1,0,0,0,0,-1,785075.416,74099.806,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
25,WECC_N,3,conventional_hydroelectric,0,1,0,0,0,0,-1,785075.416,76186.711,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
26,WECC_N,3,geothermal,1,0,28,47.4,1327.6,0,-1,1873354.76,205232.198,0,0,33620,0,7.2,pacific_naturalgas_ccs90,7.49,0,0,0.6,1,1,1,87,3.5,6,6,1,1,0,0,1,0,0,0,0,0,1
27,WECC_N,3,geothermal,1,1,0,0,0,0,-1,785075.416,76526.709,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
28,WECC_N,3,onshore_wind_turbine,2,-1,9,8.3,74.43,0,-1,1660381.746,552516.127,0,0,61431,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
29,WECC_N,3,solar_photovoltaic,2,-1,2,19.1,38.1,0,-1,1660381.746,668884.255,0,0,61431,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
30,WECC_NMAZ,4,biomass,0,0,0,0,0,0,-1,1152631.419,201967.787,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
31,WECC_NMAZ,4,biomass,1,1,0,0,0,0,-1,1152631.419,115229,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
32,WECC_NMAZ,4,conventional_hydroelectric,0,1,0,0,0,0,-1,1152631.419,117155.218,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
33,WECC_NMAZ,4,geothermal,0,0,0,0,0,0,-1,1152631.419,198430.567,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
34,WECC_NMAZ,4,geothermal,0,1,0,0,0,0,-1,1152631.419,121928.672,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
35,WECC_NMAZ,4,hydroelectric_pumped_storage,1,0,1,1163,1163,0,-1,785075.416,96170.564,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
36,WECC_NMAZ,4,hydroelectric_pumped_storage,1,1,0,0,0,0,-1,1152631.419,127983.482,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
37,WECC_NMAZ,4,nuclear,2,-1,5,19.5,97.3,15444.44,-1,785075.416,98328.543,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
38,WECC_NMAZ,4,onshore_wind_turbine,1,0,520,18.3,9520,0,-1,785075.416,100253.216,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
39,WECC_NMAZ,4,solar_photovoltaic,2,-1,3,79.5,238.5,37857.14,-1,785075.416,87377.326,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
40,WECC_WYCO,6,biomass,0,0,0,0,0,0,-1,785075.416,95296.331,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
41,WECC_WYCO,6,biomass,1,1,0,0,0,0,-1,0,0,0,0,17943,0,0,None,9.15,0,0.025,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
42,WECC_WYCO,6,conventional_hydroelectric,1,0,200,31.3,6266.4,0,-1,1873354.76,211907.198,0,0,33620,0,7.2,pacific_naturalgas_ccs90,7.49,0,0,0.6,1,1,1,87,3.5,6,6,1,1,0,0,1,0,0,0,0,0,1
43,WECC_WYCO,6,hydroelectric_pumped_storage,1,0,3,1334.3,4002.99,0,-1,785075.416,99724.953,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
44,WECC_WYCO,6,hydroelectric_pumped_storage,1,1,0,0,0,0,-1,0,0,0,0,100830,0,2.3,pacific_uranium,10.46,0,0,0.5,0.25,0.25,1,235,0,24,24,1,1,0,0,1,0,0,0,0,0,1
45,WECC_WYCO,6,onshore_wind_turbine,2,-1,22,9.8,215.16,136.18,-1,785075.416,90043.824,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
46,WECC_WYCO,6,solar_photovoltaic,2,-1,15,0.9,13.8,0,-1,785075.416,95166.368,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
47,CA_N,1,naturalgas_ccccsavgcf,1,-1,55,9.7,535.15,338.7,-1,785075.416,95115.027,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
48,CA_N,1,new_onshore_wind,CA_N_0,1,0,0,0,0,1266.3,1152631.419,201361.155,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
49,CA_N,1,new_floating_offshore_wind,CA_N_0,1,0,0,0,0,25689.84,328200,37613,0,0,8205,0,0,None,0,0,0,0,1,1,0,0,0,0,0,0.92,0.92,1,10,0,0,0,2,0,0,1
50,CA_N,1,new_floating_offshore_wind,CA_N_1,1,0,0,0,0,25689.84,5912426.309,612534.995,0,0,100888,0,2.3,pacific_uranium,10.46,0,0,0.5,0.25,0.25,1,235,0,24,24,1,1,0,0,1,0,0,0,0,0,1
51,CA_N,1,new_floating_offshore_wind,CA_N_2,1,0,0,0,0,25689.84,1989354.76,211302,0,0,43290,0,7.7,pacific_naturalgas_ccs100,7.86,0,0,0.6,1,1,1,87,3.5,6,6,1,1,0,0,1,0,0,0,0,0,1
52,CA_N,1,new_floating_offshore_wind,CA_N_3,1,0,0,0,0,25689.84,1873354.76,205232.198,0,0,33620,0,7.2,pacific_naturalgas_ccs90,7.49,0,0,0.6,1,1,1,87,3.5,6,6,1,1,0,0,1,0,0,0,0,0,1
53,CA_N,1,new_floating_offshore_wind,CA_N_4,1,0,0,0,0,25689.84,1152631.419,201967.787,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
54,CA_N,1,new_utility_pv,CA_N_0,1,0,0,0,0,80739.3,1152631.419,198430.567,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
55,CA_N,1,new_utility_pv,CA_N_1,1,0,0,0,0,80739.3,785075.416,96170.564,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
56,CA_N,1,new_utility_pv,CA_N_2,1,0,0,0,0,80739.3,785075.416,100253.216,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
57,CA_N,1,new_utility_pv,CA_N_3,1,0,0,0,0,80739.3,785075.416,95296.331,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
58,CA_N,1,battery,1,-1,15,36.2,542.55,343.39,-1,785075.416,95999.325,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
59,CA_N,1,nuclear,2,-1,7,1,7,0,-1,328200,37639,100266.667,11499,8205,2506,0,None,0,0,0,0,1,1,0,0,0,0,0,0.92,0.92,1,10,0,0,0,2,0,0,1
60,CA_N,1,naturalgas_ccs100,1,-1,4,0.2,0.68,0.43,-1,5912426.309,585045.995,0,0,100888,0,2.3,pacific_uranium,10.46,0,0,0.5,0.25,0.25,1,235,0,24,24,1,1,0,0,1,0,0,0,0,0,1
61,CA_S,2,naturalgas_ccccsavgcf,1,-1,15,41,615.15,97642.86,-1,1989354.76,204213,0,0,43290,0,7.7,pacific_naturalgas_ccs100,7.86,0,0,0.6,1,1,1,87,3.5,6,6,1,1,0,0,1,0,0,0,0,0,1
62,CA_S,2,new_onshore_wind,CA_S_0,1,0,0,0,0,1946.3,1152631.419,123290.422,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
63,CA_S,2,new_onshore_wind,CA_S_1,1,0,0,0,0,1946.3,785075.416,80835.048,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
64,CA_S,2,new_onshore_wind,CA_S_2,1,0,0,0,0,1946.3,785075.416,76859.272,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
65,CA_S,2,new_utility_pv,CA_S_0,1,0,0,0,0,20451.59,785075.416,84497.957,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
66,CA_S,2,new_utility_pv,CA_S_1,1,0,0,0,0,20451.59,785075.416,77995.825,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
67,CA_S,2,new_utility_pv,CA_S_2,1,0,0,0,0,20451.59,785075.416,81572.146,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
68,CA_S,2,new_utility_pv,CA_S_3,1,0,0,0,0,20451.59,785075.416,86977.29,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
69,CA_S,2,new_utility_pv,CA_S_4,1,0,0,0,0,20451.59,785075.416,80427.817,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
70,CA_S,2,new_utility_pv,CA_S_5,1,0,0,0,0,20451.59,785075.416,85297.037,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
71,CA_S,2,new_utility_pv,CA_S_6,1,0,0,0,0,20451.59,328200,37248,0,0,8205,0,0,None,0,0,0,0,1,1,0,0,0,0,0,0.92,0.92,1,10,0,0,0,2,0,0,1
72,CA_S,2,new_utility_pv,CA_S_7,1,0,0,0,0,20451.59,5912426.309,519649.343,0,0,100888,0,2.3,rockies_uranium,10.46,0,0,0.5,0.25,0.25,1,235,0,24,24,1,1,0,0,1,0,0,0,0,0,1
73,CA_S,2,new_utility_pv,CA_S_8,1,0,0,0,0,20451.59,1989354.76,176085,0,0,43290,0,7.7,rockies_naturalgas_ccs100,7.86,0,0,0.6,1,1,1,87,3.5,6,6,1,1,0,0,1,0,0,0,0,0,1
74,CA_S,2,new_utility_pv,CA_S_9,1,0,0,0,0,20451.59,1873354.76,162755.937,0,0,33620,0,7.2,rockies_naturalgas_ccs90,7.49,0,0,0.6,1,1,1,87,3.5,6,6,1,1,0,0,1,0,0,0,0,0,1
75,CA_S,2,battery,1,-1,91,10.6,961.87,1924,-1,1873354.76,165817,0,0,33620,0,7.2,rockies_naturalgas_ccs90,7.49,0,0,0.6,1,1,1,87,3.5,6,6,1,1,0,0,1,0,0,0,0,0,1
76,CA_S,2,nuclear,2,-1,2,4,8.04,0,-1,1152631.419,111623.778,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
77,CA_S,2,naturalgas_ccs100,1,-1,6,0.6,3.54,0,-1,1152631.419,120510.514,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
78,WECC_N,3,naturalgas_ccccsavgcf,1,-1,34,4.9,165.24,104.58,-1,1152631.419,122315.45,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
